date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-15,5.67,5.7,5.7,5.66,27373.0,0.03,0.53,5.732,5.744,5.765,29292.02,35746.98,42674.66,0.46
2017-12-14,5.7,5.7,5.67,5.65,24040.0,-0.03,-0.53,5.76,5.752,5.774,30808.82,35318.28,44386.86,0.4
2017-12-13,5.71,5.74,5.7,5.64,34424.06,-0.04,-0.7,5.792,5.76,5.794,38384.56,35764.98,44526.76,0.57
2017-12-12,5.85,5.88,5.74,5.73,29241.0,-0.11,-1.88,5.798,5.77,5.816,37361.35,37004.46,44273.2,0.49
2017-12-11,5.8,5.86,5.85,5.8,31382.04,0.01,0.17,5.79,5.786,5.835,43641.77,43643.94,44277.9,0.52
2017-12-08,5.83,5.86,5.84,5.76,34957.02,0.01,0.17,5.756,5.798,5.851,42201.93,53738.91,44272.2,0.58
2017-12-07,5.71,5.86,5.83,5.68,61918.69,0.1,1.75,5.744,5.777,5.872,39827.73,52842.21,45359.35,1.03
2017-12-06,5.63,5.75,5.73,5.6,29308.0,0.03,0.53,5.728,5.762,5.89,33145.4,50690.53,44353.77,0.49
2017-12-05,5.7,5.88,5.7,5.68,60643.1,0.02,0.35,5.742,5.77,5.909,36647.56,51688.13,45066.91,1.01
2017-12-04,5.78,5.8,5.68,5.67,24182.86,-0.1,-1.73,5.782,5.773,5.926,43646.1,48387.72,43456.86,0.4
2017-12-01,5.72,5.82,5.78,5.71,23086.0,0.03,0.52,5.84,5.785,5.944,65275.89,49602.34,43725.35,0.38
2017-11-30,5.75,5.81,5.75,5.72,28507.04,-0.05,-0.86,5.81,5.795,5.957,65856.69,53455.44,44211.66,0.48
2017-11-29,5.86,5.89,5.8,5.77,46818.8,-0.1,-1.7,5.796,5.828,5.975,68235.66,53288.53,44744.52,0.78
2017-11-28,5.82,5.92,5.9,5.75,95635.8,-0.07,-1.17,5.798,5.861,5.995,66728.7,51541.95,43554.27,1.59
2017-11-27,5.63,6.19,5.97,5.58,132331.8,0.34,6.04,5.764,5.883,6.01,53129.34,44911.87,40318.18,2.21
2017-11-24,5.65,5.68,5.63,5.59,25990.0,-0.05,-0.88,5.73,5.903,6.02,33928.78,34805.49,37282.78,0.43
2017-11-23,5.8,5.88,5.68,5.67,40401.92,-0.13,-2.24,5.78,5.966,6.06,41054.18,37876.49,37757.34,0.67
2017-11-22,5.73,5.85,5.81,5.7,39284.0,0.08,1.4,5.86,6.018,6.099,38341.4,38017.0,37630.84,0.65
2017-11-21,5.8,5.83,5.73,5.71,27639.0,-0.07,-1.21,5.924,6.048,6.131,36355.2,38445.68,37820.34,0.46
2017-11-20,5.88,5.88,5.8,5.68,36329.0,-0.08,-1.36,6.002,6.079,6.166,36694.4,38526.0,37914.09,0.61
2017-11-17,6.09,6.1,5.88,5.86,61617.0,-0.2,-3.29,6.076,6.103,6.2,35682.2,37848.37,37125.2,1.03
2017-11-16,6.17,6.18,6.08,6.08,26838.0,-0.05,-0.82,6.152,6.119,6.229,34698.8,34967.88,35390.43,0.45
2017-11-15,6.08,6.2,6.13,6.06,29353.0,0.01,0.16,6.176,6.122,6.247,37692.6,36200.5,36564.54,0.49
2017-11-14,6.17,6.21,6.12,6.1,29335.0,-0.05,-0.81,6.172,6.129,6.271,40536.16,35566.58,37965.03,0.49
2017-11-13,6.26,6.28,6.17,6.14,31268.0,-0.09,-1.44,6.156,6.136,6.295,40357.61,35724.48,37847.78,0.52
2017-11-10,6.18,6.35,6.26,6.13,56700.0,0.06,0.97,6.13,6.137,6.316,40014.54,39760.06,38733.08,0.94
2017-11-09,6.11,6.23,6.2,6.08,41807.02,0.09,1.47,6.086,6.154,6.34,35236.96,37638.18,37625.92,0.7
2017-11-08,6.03,6.16,6.11,6.01,43570.8,0.07,1.16,6.068,6.18,6.367,34708.4,37244.68,38502.77,0.73
2017-11-07,6.04,6.04,6.04,5.99,28442.22,0.0,0.0,6.086,6.213,6.396,30597.0,37195.0,38904.9,0.47
2017-11-06,6.0,6.06,6.04,5.99,29552.68,0.0,0.0,6.116,6.252,6.428,31091.35,37302.18,40215.0,0.49
2017-11-03,6.12,6.15,6.04,6.01,32812.08,-0.07,-1.15,6.144,6.296,6.458,39505.57,36402.03,41855.85,0.55
2017-11-02,6.19,6.19,6.11,6.11,39164.22,-0.09,-1.45,6.222,6.338,6.484,40039.4,35812.99,42922.82,0.65
2017-11-01,6.18,6.22,6.2,6.15,23013.79,0.01,0.16,6.292,6.371,6.507,39780.96,36928.58,48188.61,0.38
2017-10-31,6.18,6.21,6.19,6.15,30914.0,0.01,0.16,6.34,6.412,6.538,43793.0,40363.48,48833.88,0.52
2017-10-30,6.42,6.42,6.18,6.12,71623.78,-0.25,-3.89,6.388,6.453,6.568,43513.0,39971.08,49236.53,1.19
2017-10-27,6.45,6.5,6.43,6.42,35481.2,-0.03,-0.46,6.448,6.495,6.599,33298.48,37706.11,48107.19,0.59
2017-10-26,6.42,6.47,6.46,6.38,37872.01,0.02,0.31,6.454,6.525,6.617,31586.58,37613.66,49253.63,0.63
2017-10-25,6.41,6.45,6.44,6.38,43074.0,0.01,0.16,6.45,6.553,6.637,34076.21,39760.87,49864.78,0.72
2017-10-24,6.45,6.47,6.43,6.38,29514.0,-0.05,-0.77,6.484,6.579,6.662,36933.97,40614.81,50129.28,0.49
2017-10-23,6.42,6.52,6.48,6.42,20551.2,0.02,0.31,6.518,6.604,6.686,36429.17,43127.82,51946.79,0.34
2017-10-20,6.4,6.46,6.46,6.4,26921.68,0.02,0.31,6.542,6.619,6.711,42113.73,47309.68,53666.81,0.45
2017-10-19,6.55,6.6,6.44,6.4,50320.18,-0.17,-2.57,6.596,6.629,6.735,43640.74,50032.66,54969.58,0.84
2017-10-18,6.61,6.76,6.61,6.55,57362.79,0.01,0.15,6.656,6.643,6.76,45445.52,59448.65,55463.02,0.96
2017-10-17,6.62,6.66,6.6,6.58,26990.0,0.0,0.0,6.674,6.664,6.782,44295.64,57304.27,57152.07,0.45
2017-10-16,6.73,6.75,6.6,6.59,48974.0,-0.13,-1.93,6.69,6.683,6.798,49826.47,58501.97,59294.9,0.82
2017-10-13,6.75,6.76,6.73,6.71,34556.72,-0.01,-0.15,6.696,6.703,6.816,52505.63,58508.27,59785.68,0.58
2017-10-12,6.71,6.77,6.74,6.64,59344.08,0.04,0.6,6.662,6.708,6.828,56424.58,60893.61,61041.9,0.99
2017-10-11,6.7,6.73,6.7,6.64,51613.42,0.02,0.3,6.63,6.721,6.839,73451.77,59968.7,62417.99,0.86
2017-10-10,6.65,6.68,6.68,6.58,54644.15,0.05,0.75,6.654,6.745,6.857,70312.89,59643.76,62789.46,0.91
2017-10-09,6.59,6.71,6.63,6.57,62369.77,0.07,1.07,6.676,6.767,6.876,67177.46,60765.75,63171.76,1.04
2017-09-29,6.53,6.6,6.56,6.53,54151.5,-0.02,-0.3,6.71,6.802,6.899,64510.9,60023.95,66296.79,0.9
2017-09-28,6.53,6.71,6.58,6.53,144480.02,-0.24,-3.52,6.754,6.841,6.92,65362.64,59906.5,67623.31,2.41
2017-09-27,6.85,6.85,6.82,6.79,35919.0,0.03,0.44,6.812,6.877,6.935,46485.63,51477.4,64268.17,0.6
2017-09-26,6.83,6.83,6.79,6.76,38967.0,-0.01,-0.15,6.836,6.899,6.941,48974.64,56999.88,66333.67,0.65
2017-09-25,6.83,6.89,6.8,6.79,49037.0,0.02,0.29,6.858,6.913,6.949,54354.04,60087.84,68298.97,0.82
2017-09-22,6.88,6.89,6.78,6.76,58410.16,-0.09,-1.31,6.894,6.929,6.96,55536.99,61063.1,69789.42,0.97
2017-09-21,6.94,6.94,6.87,6.86,50095.0,-0.07,-1.01,6.928,6.948,6.971,54450.36,61190.18,69678.51,0.83
2017-09-20,6.89,6.96,6.94,6.87,48364.02,0.04,0.58,6.942,6.957,6.974,56469.16,64867.28,72947.28,0.81
2017-09-19,6.96,6.98,6.9,6.88,65864.02,-0.08,-1.15,6.962,6.969,6.981,65025.13,65935.16,73879.68,1.1
2017-09-18,6.96,7.0,6.98,6.93,54951.74,0.03,0.43,6.968,6.985,6.992,65821.63,65577.77,74035.23,0.92
2017-09-15,6.92,7.03,6.95,6.92,52977.04,0.01,0.14,6.964,6.996,7.004,66589.21,72569.64,75359.44,0.88
2017-09-14,7.01,7.04,6.94,6.93,60189.0,-0.1,-1.42,6.968,6.998,7.016,67930.0,75340.11,78074.61,1.0
2017-09-13,6.93,7.07,7.04,6.91,91143.85,0.11,1.59,6.972,6.993,7.033,73265.4,77058.93,81472.69,1.52
2017-09-12,6.95,6.97,6.93,6.91,69846.53,-0.03,-0.43,6.976,6.982,7.045,66845.18,75667.45,82728.35,1.16
2017-09-11,6.97,6.99,6.96,6.93,58789.64,-0.01,-0.14,7.002,6.984,7.058,65333.91,76510.1,83484.47,0.98
2017-09-08,6.95,7.02,6.97,6.93,59681.0,0.01,0.14,7.028,6.99,7.07,78550.07,78515.73,84551.64,0.99
2017-09-07,7.07,7.09,6.96,6.94,86866.0,-0.1,-1.42,7.028,6.993,7.076,82750.22,78166.83,88462.36,1.45
2017-09-06,7.06,7.08,7.06,7.01,59042.74,0.0,0.0,7.014,6.99,7.087,80852.46,81027.28,89655.84,0.98
2017-09-05,7.11,7.13,7.06,7.04,62290.19,-0.03,-0.42,6.988,6.992,7.096,84489.71,81824.21,90886.91,1.04
2017-09-04,6.97,7.12,7.09,6.97,124870.44,0.12,1.72,6.966,6.999,7.109,87686.28,82492.69,94665.93,2.08
2017-09-01,6.9,7.0,6.97,6.88,80681.71,0.08,1.16,6.952,7.011,7.117,78481.39,78149.24,93911.66,1.34
2017-08-31,6.93,6.95,6.89,6.84,77377.23,-0.04,-0.58,6.958,7.033,7.132,73583.45,80809.1,103364.53,1.29
2017-08-30,6.97,6.98,6.93,6.9,77229.0,-0.02,-0.29,6.966,7.073,7.144,81202.1,85886.45,103934.2,1.29
2017-08-29,7.03,7.04,6.95,6.93,78273.0,-0.07,-1.0,6.996,7.108,7.155,79158.7,89789.25,108484.2,1.3
2017-08-28,6.93,7.04,7.02,6.93,78846.0,0.02,0.29,7.032,7.131,7.175,77299.1,90458.85,118708.72,1.31
2017-08-25,6.95,7.01,7.0,6.93,56192.02,0.07,1.01,7.07,7.149,7.179,77817.09,90587.55,122244.13,0.94
2017-08-24,7.08,7.11,6.93,6.92,115470.46,-0.15,-2.12,7.108,7.159,7.189,88034.75,98757.89,123935.5,1.92
