date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-12-30,2.83,2.85,2.83,2.82,134330.95,0.0,0.0,2.842,2.882,2.954,217492.91,244657.04,468143.25,0.23
2016-12-29,2.84,2.85,2.83,2.8,219214.02,-0.01,-0.35,2.856,2.893,2.964,235948.27,260553.5,495826.14,0.37
2016-12-28,2.85,2.87,2.84,2.83,168168.02,-0.01,-0.35,2.874,2.906,2.975,250380.43,277826.63,509247.6,0.28
2016-12-27,2.85,2.87,2.85,2.84,231983.89,-0.01,-0.35,2.892,2.92,2.981,271639.48,320510.35,530591.13,0.39
2016-12-26,2.88,2.89,2.86,2.79,333767.69,-0.04,-1.38,2.904,2.942,2.991,296682.78,362745.17,588755.57,0.56
2016-12-23,2.91,2.93,2.9,2.87,226607.73,-0.02,-0.69,2.922,2.957,3.001,271821.16,438180.16,618028.61,0.38
2016-12-22,2.93,2.94,2.92,2.9,291374.81,-0.01,-0.34,2.93,2.975,3.006,285158.72,485541.74,650160.9,0.49
2016-12-21,2.92,2.95,2.93,2.9,274463.28,0.02,0.69,2.938,2.992,3.008,305272.82,543474.61,662343.74,0.46
2016-12-20,2.95,2.96,2.91,2.89,357200.38,-0.04,-1.36,2.948,3.013,3.009,369381.23,665092.66,676089.88,0.6
2016-12-19,2.95,2.97,2.95,2.93,209459.61,0.01,0.34,2.98,3.02,3.013,428807.55,663410.49,690133.07,0.35
2016-12-16,2.96,2.97,2.94,2.93,293295.53,-0.02,-0.68,2.992,3.025,3.013,604539.15,691629.47,705860.88,0.49
2016-12-15,2.96,3.0,2.96,2.93,391945.31,-0.02,-0.67,3.02,3.034,3.012,685924.76,731098.78,713186.77,0.66
2016-12-14,3.04,3.04,2.98,2.95,595005.31,-0.09,-2.93,3.046,3.043,3.011,781676.4,740668.57,714808.99,1.0
2016-12-13,3.0,3.08,3.07,2.95,654332.0,0.06,1.99,3.078,3.042,3.01,960804.09,740671.91,710748.87,1.1
2016-12-12,3.1,3.18,3.01,3.0,1088117.62,-0.07,-2.27,3.06,3.04,3.004,898013.42,814765.98,734673.77,1.82
2016-12-09,3.07,3.14,3.08,3.05,700223.56,-0.01,-0.32,3.058,3.044,3.005,778719.78,797877.05,748800.34,1.17
2016-12-08,3.13,3.15,3.09,3.06,870703.5,-0.05,-1.59,3.048,3.037,2.998,776272.79,814780.07,770813.88,1.46
2016-12-07,2.98,3.15,3.14,2.97,1490643.75,0.17,5.72,3.04,3.023,2.986,699660.74,781212.87,753626.08,2.5
2016-12-06,3.02,3.03,2.98,2.96,340378.69,-0.03,-1.0,3.006,3.005,2.969,520539.73,687087.1,697300.33,0.57
2016-12-05,3.0,3.08,3.0,2.99,491649.41,-0.04,-1.32,3.02,3.006,2.96,731518.54,716855.65,698896.92,0.82
2016-12-02,3.05,3.12,3.03,3.01,687988.62,-0.02,-0.66,3.03,3.0,2.951,817034.32,720092.3,692004.83,1.15
2016-12-01,2.96,3.06,3.05,2.96,487643.25,0.08,2.69,3.026,2.989,2.939,853287.34,695274.77,667103.8,0.82
2016-11-30,3.01,3.02,2.97,2.95,595038.69,-0.08,-2.62,3.006,2.979,2.926,862765.0,688949.4,661846.39,1.0
2016-11-29,3.04,3.15,3.05,3.02,1395272.75,0.0,0.0,3.004,2.977,2.916,853634.47,680825.83,653982.54,2.34
2016-11-28,3.01,3.08,3.05,2.99,919228.31,0.05,1.67,2.992,2.968,2.906,702192.76,654581.56,594753.4,1.54
2016-11-25,2.96,3.01,3.01,2.91,869253.69,0.06,2.03,2.97,2.965,2.895,623150.27,699723.63,564726.49,1.46
2016-11-24,2.96,2.98,2.95,2.93,535031.56,-0.01,-0.34,2.952,2.959,2.885,537262.21,726847.7,540991.72,0.9
2016-11-23,3.0,3.03,2.96,2.95,549386.06,-0.04,-1.33,2.952,2.948,2.88,515133.81,726039.29,532998.34,0.92
2016-11-22,2.95,3.02,2.99,2.94,638064.19,0.04,1.36,2.95,2.932,2.876,508017.19,707513.55,530031.78,1.07
2016-11-21,2.91,2.98,2.94,2.91,524015.84,0.02,0.69,2.944,2.914,2.873,606970.36,680938.19,538592.86,0.88
